Algorithm,Best Distance (km),Execution Time (s),Distance Score,Speed Score,Overall Score,Time Complexity
Simulated Annealing,72523.61612937551,0.01604914665222168,77.31867522875983,100.0,84.12307266013187,O(i * n²)
Genetic Algorithm,56074.29921922433,14.08598256111145,100.0,0.11393700498061193,70.03418110149418,O(g * p * n²)
Tabu Search,56620.6497249166,1.480989694595337,99.0350684629254,1.0836771323116412,69.64965106374127,O(i * n²)
Particle Swarm Optimization,106204.2457709989,0.052996158599853516,52.79854756478718,30.28360371060185,46.04406440853158,O(i * p * n²)
